tosquarerank,tosquarefile,piece,COUNT(*),turn
4,2,knight,264229,Black
4,2,knight,203986,White
4,2,pawn,692166,Black
4,2,pawn,427503,White
4,2,queen,171535,Black
4,2,queen,101292,White
4,2,rook,88719,Black
4,2,rook,106423,White
4,3,bishop,227647,Black
4,3,bishop,261235,White
4,3,king,138163,Black
4,3,king,83742,White
4,3,knight,572026,Black
4,3,knight,505184,White
4,3,pawn,820457,Black
4,3,pawn,782689,White
4,3,queen,220170,Black
4,3,queen,211365,White
4,3,rook,127041,Black
4,3,rook,136388,White
4,4,bishop,286890,Black
4,4,bishop,229583,White
4,4,king,162981,Black
4,4,king,93873,White
4,4,knight,670064,Black
4,4,knight,716105,White
4,4,pawn,833021,Black
4,4,pawn,856051,White
4,4,queen,231869,Black
4,4,queen,173408,White
4,4,rook,132717,Black
4,4,rook,150172,White
4,5,bishop,353065,Black
4,5,bishop,139027,White
4,5,king,171098,Black
4,5,king,96792,White
4,5,knight,259390,Black
4,5,knight,228010,White
4,5,pawn,745982,Black
4,5,pawn,416920,White
4,5,queen,159981,Black
4,5,queen,141723,White
4,5,rook,114816,Black
4,5,rook,105883,White
4,6,bishop,168850,Black
4,6,bishop,587730,White
4,6,king,144375,Black
4,6,king,94880,White
4,6,knight,95580,Black
4,6,knight,376016,White
4,6,pawn,653670,Black
4,6,pawn,350657,White
4,6,queen,225522,Black
4,6,queen,150260,White
4,6,rook,72173,Black
4,6,rook,75141,White
4,7,bishop,121420,Black
4,7,bishop,71335,White
4,7,king,79762,Black
4,7,king,54861,White
4,7,knight,186420,Black
4,7,knight,64722,White
4,7,pawn,547562,Black
4,7,pawn,285893,White
4,7,queen,99010,Black
4,7,queen,218362,White
4,7,rook,61544,Black
4,7,rook,74466,White
5,0,bishop,155753,Black
5,0,bishop,75699,White
5,0,king,47169,Black
5,0,king,26424,White
5,0,knight,121279,Black
5,0,knight,24777,White
5,0,pawn,645697,Black
5,0,pawn,112322,White
5,0,queen,47936,Black
5,0,queen,72784,White
5,0,rook,64851,Black
5,0,rook,114738,White
5,1,bishop,135536,Black
5,1,bishop,63881,White
5,1,king,115265,Black
5,1,king,47504,White
5,1,knight,191927,Black
5,1,knight,73619,White
5,1,pawn,528055,Black
5,1,pawn,128770,White
5,1,queen,326256,Black
5,1,queen,68695,White
5,1,rook,70841,Black
5,1,rook,101780,White
5,2,bishop,230636,Black
5,2,bishop,237448,White
5,2,king,168489,Black
5,2,king,54935,White
5,2,knight,797486,Black
5,2,knight,220142,White
5,2,pawn,638882,Black
5,2,pawn,170659,White
5,2,queen,180175,Black
5,2,queen,127572,White
5,2,rook,96236,Black
5,2,rook,127656,White
5,3,bishop,507501,Black
5,3,bishop,143220,White
5,3,king,234235,Black
5,3,king,55963,White
5,3,knight,109659,Black
5,3,knight,222707,White
5,3,pawn,350706,Black
5,3,pawn,201072,White
5,3,queen,311987,Black
5,3,queen,122421,White
5,3,rook,132353,Black
5,3,rook,153446,White
5,4,bishop,493679,Black
5,4,bishop,147778,White
5,4,king,279045,Black
5,4,king,54783,White
5,4,knight,123103,Black
5,4,knight,200297,White
5,4,pawn,450543,Black
5,4,pawn,193841,White
5,4,queen,197607,Black
5,4,queen,147535,White
5,4,rook,141305,Black
5,4,rook,142062,White
5,5,bishop,367647,Black
5,5,bishop,317819,White
5,5,king,319989,Black
5,5,king,60229,White
5,5,knight,987159,Black
5,5,knight,212779,White
5,5,pawn,634038,Black
5,5,pawn,215324,White
5,5,queen,389225,Black
5,5,queen,138217,White
5,5,rook,151107,Black
5,5,rook,116525,White
5,6,bishop,155889,Black
5,6,bishop,96342,White
5,6,king,265692,Black
5,6,king,56693,White
5,6,knight,198778,Black
5,6,knight,107855,White
5,6,pawn,655770,Black
5,6,pawn,169795,White
5,6,queen,164367,Black
5,6,queen,115725,White
5,6,rook,87741,Black
5,6,rook,80566,White
5,7,bishop,102814,Black
5,7,bishop,187687,White
5,7,king,146220,Black
5,7,king,35263,White
5,7,knight,112761,Black
5,7,knight,39711,White
5,7,pawn,729138,Black
5,7,pawn,113398,White
5,7,queen,66469,Black
5,7,queen,119195,White
5,7,rook,59827,Black
5,7,rook,83747,White
6,0,bishop,34040,Black
6,0,bishop,34779,White
6,0,king,51850,Black
6,0,king,17032,White
6,0,knight,23002,Black
6,0,knight,28039,White
6,0,pawn,58053,White
6,0,queen,33346,Black
6,0,queen,81024,White
6,0,rook,80386,Black
6,0,rook,174201,White
6,1,bishop,397388,Black
6,1,bishop,81489,White
6,1,king,124617,Black
6,1,king,29699,White
6,1,knight,23953,Black
6,1,knight,45349,White
6,1,pawn,52464,White
6,1,queen,88167,Black
6,1,queen,139278,White
6,1,rook,82978,Black
6,1,rook,182365,White
6,2,bishop,86203,Black
6,2,bishop,57973,White
6,2,king,211832,Black
6,2,king,30376,White
6,2,knight,67816,Black
6,2,knight,110497,White
6,2,pawn,51950,White
6,2,queen,445228,Black
6,2,queen,106359,White
6,2,rook,129506,Black
6,2,rook,191091,White
6,3,bishop,475686,Black
6,3,bishop,98405,White
6,3,king,341379,Black
6,3,king,26522,White
6,3,knight,823088,Black
6,3,knight,114084,White
6,3,pawn,56012,White
6,3,queen,412026,Black
6,3,queen,106118,White
6,3,rook,189787,Black
6,3,rook,206686,White
6,4,bishop,691623,Black
6,4,bishop,130902,White
6,4,king,436351,Black
6,4,king,27337,White
6,4,knight,476530,Black
6,4,knight,112672,White
6,4,pawn,50827,White
6,4,queen,489883,Black
6,4,queen,107262,White
6,4,rook,179959,Black
6,4,rook,188089,White
6,5,bishop,56485,Black
6,5,bishop,98683,White
6,5,king,489612,Black
6,5,king,29797,White
6,5,knight,52494,Black
6,5,knight,126387,White
6,5,pawn,51004,White
6,5,queen,120015,Black
6,5,queen,139007,White
6,5,rook,198457,Black
6,5,rook,164290,White
6,6,bishop,280490,Black
6,6,bishop,109222,White
6,6,king,537755,Black
6,6,king,29625,White
6,6,knight,31885,Black
6,6,knight,35467,White
6,6,pawn,50074,White
6,6,queen,73030,Black
6,6,queen,110257,White
6,6,rook,81104,Black
6,6,rook,121356,White
6,7,bishop,26477,Black
6,7,bishop,51083,White
6,7,king,311399,Black
6,7,king,19504,White
6,7,knight,62592,Black
6,7,knight,24949,White
6,7,pawn,50089,White
6,7,queen,23171,Black
6,7,queen,95632,White
6,7,rook,53732,Black
6,7,rook,117584,White
7,0,bishop,24235,Black
7,0,bishop,34941,White
7,0,king,38457,Black
7,0,king,7422,White
7,0,knight,5199,Black
7,0,knight,32254,White
7,0,pawn,31584,White
7,0,queen,36653,Black
7,0,queen,65502,White
7,0,rook,163503,Black
7,0,rook,103005,White
7,1,bishop,23446,Black
7,1,bishop,21496,White
7,1,king,156462,Black
7,1,king,11279,White
7,1,knight,46511,Black
7,1,knight,10433,White
7,1,pawn,24201,White
7,1,queen,56833,Black
7,1,queen,42954,White
7,1,rook,448089,Black
7,1,rook,84162,White
7,2,bishop,95178,Black
7,2,bishop,25325,White
7,2,king,364083,Black
7,2,king,10198,White
7,2,knight,32380,Black
7,2,knight,31046,White
7,2,pawn,22956,White
7,2,queen,104722,Black
7,2,queen,57238,White
7,2,rook,684823,Black
7,2,rook,119743,White
7,3,bishop,63101,Black
7,3,bishop,37697,White
7,3,king,205927,Black
7,3,king,9285,White
7,3,knight,42123,Black
7,3,knight,33356,White
7,3,pawn,21015,White
7,3,queen,153515,Black
7,3,queen,121768,White
7,3,rook,850317,Black
7,3,rook,186527,White
7,4,bishop,53161,Black
7,4,bishop,22420,White
7,4,king,185022,Black
7,4,king,9664,White
7,4,knight,70744,Black
7,4,knight,26265,White
7,4,pawn,18255,White
7,4,queen,120761,Black
7,4,queen,69705,White
7,4,rook,973791,Black
7,4,rook,164306,White
7,5,bishop,106762,Black
7,5,bishop,52241,White
7,5,king,376381,Black
7,5,king,10014,White
7,5,knight,67274,Black
7,5,knight,39804,White
7,5,pawn,19326,White
7,5,queen,69693,Black
7,5,queen,52827,White
7,5,rook,403887,Black
7,5,rook,114541,White
7,6,bishop,8471,Black
7,6,bishop,18024,White
7,6,king,1568074,Black
7,6,king,11591,White
7,6,knight,35286,Black
7,6,knight,7940,White
7,6,pawn,19932,White
7,6,queen,19635,Black
7,6,queen,38620,White
7,6,rook,287450,Black
7,6,rook,58544,White
7,7,bishop,18187,Black
7,7,bishop,18668,White
7,7,king,335941,Black
7,7,king,7606,White
7,7,knight,5328,Black
7,7,knight,24884,White
7,7,pawn,25395,White
7,7,queen,13732,Black
7,7,queen,61777,White
7,7,rook,122387,Black
7,7,rook,74862,White
