tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,3,knight,491,Black,1000
8,3,knight,3091,Black,1200
8,3,knight,8740,Black,1400
8,3,knight,10523,Black,1600
8,3,knight,6147,Black,1800
8,3,knight,2041,Black,2000
8,3,knight,493,Black,2200
8,3,knight,34,Black,2400
8,3,knight,4,Black,2600
8,3,knight,53,White,800
8,3,knight,814,White,1000
8,3,knight,4199,White,1200
8,3,knight,8842,White,1400
8,3,knight,9462,White,1600
8,3,knight,5126,White,1800
8,3,knight,1710,White,2000
8,3,knight,361,White,2200
8,3,knight,32,White,2400
8,3,knight,2,White,2600
8,3,pawn,31,White,800
8,3,pawn,633,White,1000
8,3,pawn,3108,White,1200
8,3,pawn,6706,White,1400
8,3,pawn,6853,White,1600
8,3,pawn,3876,White,1800
8,3,pawn,1396,White,2000
8,3,pawn,305,White,2200
8,3,pawn,24,White,2400
8,3,pawn,2,White,2600
8,3,queen,102,Black,800
8,3,queen,1417,Black,1000
8,3,queen,9527,Black,1200
8,3,queen,25393,Black,1400
8,3,queen,30802,Black,1600
8,3,queen,17546,Black,1800
8,3,queen,5749,Black,2000
8,3,queen,1250,Black,2200
8,3,queen,115,Black,2400
8,3,queen,11,Black,2600
8,3,queen,131,White,800
8,3,queen,1737,White,1000
8,3,queen,8103,White,1200
8,3,queen,16925,White,1400
8,3,queen,16745,White,1600
8,3,queen,9006,White,1800
8,3,queen,2923,White,2000
8,3,queen,585,White,2200
8,3,queen,50,White,2400
8,3,queen,2,White,2600
8,3,rook,410,Black,800
8,3,rook,9791,Black,1000
8,3,rook,64443,Black,1200
8,3,rook,179319,Black,1400
8,3,rook,221830,Black,1600
8,3,rook,129448,Black,1800
8,3,rook,42757,Black,2000
8,3,rook,10175,Black,2200
8,3,rook,903,Black,2400
8,3,rook,92,Black,2600
8,3,rook,103,White,800
8,3,rook,2083,White,1000
8,3,rook,13123,White,1200
8,3,rook,32902,White,1400
8,3,rook,39021,White,1600
8,3,rook,22877,White,1800
8,3,rook,7576,White,2000
8,3,rook,1846,White,2200
8,3,rook,159,White,2400
8,3,rook,14,White,2600
8,4,bishop,38,Black,800
8,4,bishop,899,Black,1000
8,4,bishop,6268,Black,1200
8,4,bishop,16853,Black,1400
8,4,bishop,19622,Black,1600
8,4,bishop,11274,Black,1800
8,4,bishop,3854,Black,2000
8,4,bishop,843,Black,2200
8,4,bishop,90,Black,2400
8,4,bishop,2,Black,2600
8,4,bishop,55,White,800
8,4,bishop,1010,White,1000
8,4,bishop,4823,White,1200
8,4,bishop,10141,White,1400
8,4,bishop,10128,White,1600
8,4,bishop,5278,White,1800
8,4,bishop,1675,White,2000
8,4,bishop,333,White,2200
8,4,bishop,31,White,2400
8,4,bishop,5,White,2600
8,4,king,388,Black,800
8,4,king,7297,Black,1000
8,4,king,31256,Black,1200
8,4,king,57358,Black,1400
8,4,king,48694,Black,1600
8,4,king,23142,Black,1800
8,4,king,7136,Black,2000
8,4,king,1466,Black,2200
8,4,king,121,Black,2400
8,4,king,8,Black,2600
8,4,king,10,White,800
8,4,king,259,White,1000
8,4,king,1179,White,1200
8,4,king,2650,White,1400
8,4,king,2844,White,1600
8,4,king,1563,White,1800
8,4,king,634,White,2000
8,4,king,137,White,2200
8,4,king,8,White,2400
8,4,king,1,White,2600
8,4,knight,43,Black,800
8,4,knight,676,Black,1000
8,4,knight,4025,Black,1200
8,4,knight,10237,Black,1400
8,4,knight,12309,Black,1600
8,4,knight,6955,Black,1800
8,4,knight,2254,Black,2000
8,4,knight,555,Black,2200
8,4,knight,45,Black,2400
8,4,knight,3,Black,2600
8,4,knight,49,White,800
8,4,knight,915,White,1000
8,4,knight,4558,White,1200
8,4,knight,9760,White,1400
8,4,knight,9470,White,1600
8,4,knight,4796,White,1800
8,4,knight,1381,White,2000
8,4,knight,283,White,2200
8,4,knight,17,White,2400
8,4,knight,2,White,2600
8,4,pawn,23,White,800
8,4,pawn,500,White,1000
8,4,pawn,2545,White,1200
8,4,pawn,5896,White,1400
8,4,pawn,6733,White,1600
8,4,pawn,3678,White,1800
8,4,pawn,1289,White,2000
8,4,pawn,277,White,2200
8,4,pawn,23,White,2400
8,4,pawn,3,White,2600
8,4,queen,125,Black,800
8,4,queen,2043,Black,1000
8,4,queen,13434,Black,1200
8,4,queen,36825,Black,1400
8,4,queen,43588,Black,1600
8,4,queen,24747,Black,1800
8,4,queen,8164,Black,2000
8,4,queen,1763,Black,2200
8,4,queen,127,Black,2400
8,4,queen,13,Black,2600
8,4,queen,152,White,800
8,4,queen,2638,White,1000
8,4,queen,13757,White,1200
8,4,queen,29569,White,1400
8,4,queen,27932,White,1600
8,4,queen,14412,White,1800
8,4,queen,4512,White,2000
8,4,queen,941,White,2200
8,4,queen,89,White,2400
8,4,queen,12,White,2600
8,4,rook,686,Black,800
8,4,rook,15572,Black,1000
