MoveNumber,piece,numcaptures,Skill
80.0,king,54181,Good
80.0,knight,10627,Bad
80.0,knight,27540,Good
80.0,pawn,21070,Bad
80.0,pawn,74344,Good
80.0,queen,16175,Bad
80.0,queen,39299,Good
80.0,rook,41093,Bad
80.0,rook,100237,Good
90.0,bishop,5125,Bad
90.0,bishop,18219,Good
90.0,king,18444,Bad
90.0,king,49081,Good
90.0,knight,5458,Bad
90.0,knight,15572,Good
90.0,pawn,10807,Bad
90.0,pawn,42612,Good
90.0,queen,8991,Bad
90.0,queen,20440,Good
90.0,rook,22211,Bad
90.0,rook,57808,Good
100.0,bishop,2462,Bad
100.0,bishop,9636,Good
100.0,king,12520,Bad
100.0,king,35836,Good
100.0,knight,2650,Bad
100.0,knight,8201,Good
100.0,pawn,5155,Bad
100.0,pawn,20206,Good
100.0,queen,5541,Bad
100.0,queen,11965,Good
100.0,rook,11438,Bad
100.0,rook,30405,Good
110.0,bishop,1291,Bad
110.0,bishop,4763,Good
110.0,king,7535,Bad
110.0,king,21659,Good
110.0,knight,1352,Bad
110.0,knight,4079,Good
110.0,pawn,2273,Bad
110.0,pawn,8575,Good
110.0,queen,3217,Bad
110.0,queen,7103,Good
110.0,rook,5756,Bad
110.0,rook,14936,Good
120.0,bishop,576,Bad
120.0,bishop,2165,Good
120.0,king,3884,Bad
120.0,king,11187,Good
120.0,knight,580,Bad
120.0,knight,1846,Good
120.0,pawn,916,Bad
120.0,pawn,3323,Good
120.0,queen,1684,Bad
120.0,queen,3714,Good
120.0,rook,2742,Bad
120.0,rook,6610,Good
130.0,bishop,276,Bad
130.0,bishop,1006,Good
130.0,king,1991,Bad
130.0,king,5533,Good
130.0,knight,285,Bad
130.0,knight,820,Good
130.0,pawn,342,Bad
130.0,pawn,1275,Good
130.0,queen,856,Bad
130.0,queen,1795,Good
130.0,rook,1145,Bad
130.0,rook,3089,Good
140.0,bishop,110,Bad
140.0,bishop,420,Good
140.0,king,940,Bad
140.0,king,2484,Good
140.0,knight,152,Bad
140.0,knight,324,Good
140.0,pawn,120,Bad
140.0,pawn,497,Good
140.0,queen,416,Bad
140.0,queen,820,Good
140.0,rook,596,Bad
140.0,rook,1366,Good
150.0,bishop,52,Bad
150.0,bishop,222,Good
150.0,king,424,Bad
150.0,king,1154,Good
150.0,knight,60,Bad
150.0,knight,140,Good
150.0,pawn,63,Bad
150.0,pawn,203,Good
150.0,queen,205,Bad
150.0,queen,401,Good
150.0,rook,219,Bad
150.0,rook,587,Good
160.0,bishop,31,Bad
160.0,bishop,89,Good
160.0,king,232,Bad
160.0,king,502,Good
160.0,knight,18,Bad
160.0,knight,56,Good
160.0,pawn,20,Bad
160.0,pawn,94,Good
160.0,queen,102,Bad
160.0,queen,167,Good
160.0,rook,113,Bad
160.0,rook,308,Good
170.0,bishop,10,Bad
170.0,bishop,41,Good
170.0,king,122,Bad
170.0,king,241,Good
170.0,knight,13,Bad
170.0,knight,41,Good
170.0,pawn,9,Bad
170.0,pawn,57,Good
170.0,queen,45,Bad
170.0,queen,76,Good
170.0,rook,70,Bad
170.0,rook,133,Good
180.0,bishop,11,Bad
180.0,bishop,21,Good
180.0,king,61,Bad
180.0,king,147,Good
180.0,knight,6,Bad
180.0,knight,20,Good
180.0,pawn,7,Bad
180.0,pawn,29,Good
180.0,queen,36,Bad
180.0,queen,33,Good
180.0,rook,27,Bad
180.0,rook,75,Good
190.0,bishop,4,Bad
190.0,bishop,23,Good
190.0,king,27,Bad
190.0,king,80,Good
190.0,knight,1,Bad
190.0,knight,9,Good
190.0,pawn,2,Bad
190.0,pawn,16,Good
190.0,queen,17,Bad
190.0,queen,23,Good
190.0,rook,13,Bad
190.0,rook,48,Good
200.0,bishop,2,Bad
200.0,bishop,5,Good
200.0,king,14,Bad
200.0,king,46,Good
200.0,knight,2,Bad
200.0,knight,3,Good
200.0,pawn,2,Bad
200.0,pawn,6,Good
200.0,queen,13,Bad
200.0,queen,10,Good
200.0,rook,4,Bad
200.0,rook,28,Good
210.0,bishop,8,Good
210.0,king,8,Bad
210.0,king,23,Good
210.0,knight,3,Good
210.0,pawn,3,Good
210.0,queen,3,Bad
210.0,queen,8,Good
210.0,rook,1,Bad
210.0,rook,17,Good
220.0,king,3,Bad
220.0,king,20,Good
220.0,knight,1,Good
220.0,pawn,1,Good
220.0,queen,3,Bad
220.0,queen,1,Good
220.0,rook,1,Bad
220.0,rook,5,Good
230.0,bishop,1,Good
230.0,king,1,Bad
230.0,king,3,Good
230.0,knight,1,Good
230.0,pawn,1,Good
230.0,queen,1,Bad
230.0,rook,6,Good
240.0,king,3,Bad
240.0,king,3,Good
240.0,pawn,2,Good
240.0,queen,3,Bad
240.0,rook,3,Good
250.0,king,2,Bad
250.0,king,3,Good
250.0,knight,1,Good
250.0,pawn,1,Good
250.0,queen,1,Bad
250.0,queen,1,Good
260.0,king,4,Good
260.0,pawn,1,Good
260.0,rook,3,Good
270.0,king,1,Good
270.0,pawn,1,Good
