tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,4,king,2844,White,1600
8,4,king,1563,White,1800
8,4,king,634,White,2000
8,4,king,137,White,2200
8,4,king,8,White,2400
8,4,king,1,White,2600
8,4,knight,52,Black,800
8,4,knight,869,Black,1000
8,4,knight,5373,Black,1200
8,4,knight,12271,Black,1400
8,4,knight,13897,Black,1600
8,4,knight,7738,Black,1800
8,4,knight,2500,Black,2000
8,4,knight,594,Black,2200
8,4,knight,46,Black,2400
8,4,knight,3,Black,2600
8,4,knight,68,White,800
8,4,knight,1159,White,1000
8,4,knight,5185,White,1200
8,4,knight,10445,White,1400
8,4,knight,9858,White,1600
8,4,knight,4944,White,1800
8,4,knight,1427,White,2000
8,4,knight,288,White,2200
8,4,knight,17,White,2400
8,4,knight,2,White,2600
8,4,pawn,23,White,800
8,4,pawn,504,White,1000
8,4,pawn,2555,White,1200
8,4,pawn,5911,White,1400
8,4,pawn,6743,White,1600
8,4,pawn,3686,White,1800
8,4,pawn,1292,White,2000
8,4,pawn,277,White,2200
8,4,pawn,23,White,2400
8,4,pawn,3,White,2600
8,4,queen,164,Black,800
8,4,queen,3100,Black,1000
8,4,queen,20220,Black,1200
8,4,queen,54205,Black,1400
8,4,queen,59299,Black,1600
8,4,queen,31368,Black,1800
8,4,queen,9842,Black,2000
8,4,queen,2101,Black,2200
8,4,queen,140,Black,2400
8,4,queen,13,Black,2600
8,4,queen,198,White,800
8,4,queen,3916,White,1000
8,4,queen,20138,White,1200
8,4,queen,41207,White,1400
8,4,queen,38019,White,1600
8,4,queen,19235,White,1800
8,4,queen,5997,White,2000
8,4,queen,1219,White,2200
8,4,queen,105,White,2400
8,4,queen,13,White,2600
8,4,rook,699,Black,800
8,4,rook,16005,Black,1000
8,4,rook,98513,Black,1200
8,4,rook,242179,Black,1400
8,4,rook,274043,Black,1600
8,4,rook,155257,Black,1800
8,4,rook,51165,Black,2000
8,4,rook,11333,Black,2200
8,4,rook,1058,Black,2400
8,4,rook,109,Black,2600
8,4,rook,191,White,800
8,4,rook,4178,White,1000
8,4,rook,23987,White,1200
8,4,rook,54564,White,1400
8,4,rook,57942,White,1600
8,4,rook,32409,White,1800
8,4,rook,10803,White,2000
8,4,rook,2246,White,2200
8,4,rook,189,White,2400
8,4,rook,22,White,2600
8,5,bishop,28,Black,800
8,5,bishop,680,Black,1000
8,5,bishop,4588,Black,1200
8,5,bishop,13810,Black,1400
8,5,bishop,18419,Black,1600
8,5,bishop,11055,Black,1800
8,5,bishop,3678,Black,2000
8,5,bishop,855,Black,2200
8,5,bishop,50,Black,2400
8,5,bishop,1,Black,2600
8,5,bishop,26,White,800
8,5,bishop,597,White,1000
8,5,bishop,2748,White,1200
8,5,bishop,6348,White,1400
8,5,bishop,6966,White,1600
8,5,bishop,4103,White,1800
8,5,bishop,1286,White,2000
8,5,bishop,319,White,2200
8,5,bishop,25,White,2400
8,5,bishop,2,White,2600
8,5,king,368,Black,800
8,5,king,6268,Black,1000
8,5,king,29139,Black,1200
8,5,king,57583,Black,1400
8,5,king,54332,Black,1600
8,5,king,28213,Black,1800
8,5,king,9056,Black,2000
8,5,king,1832,Black,2200
8,5,king,160,Black,2400
8,5,king,18,Black,2600
8,5,king,10,White,800
8,5,king,265,White,1000
8,5,king,1249,White,1200
8,5,king,2616,White,1400
8,5,king,3021,White,1600
8,5,king,1699,White,1800
8,5,king,644,White,2000
8,5,king,144,White,2200
8,5,king,13,White,2400
8,5,king,3,White,2600
8,5,knight,42,Black,800
8,5,knight,806,Black,1000
8,5,knight,5703,Black,1200
8,5,knight,17671,Black,1400
8,5,knight,24258,Black,1600
8,5,knight,16059,Black,1800
8,5,knight,5912,Black,2000
8,5,knight,1438,Black,2200
8,5,knight,115,Black,2400
8,5,knight,8,Black,2600
8,5,knight,39,White,800
8,5,knight,726,White,1000
8,5,knight,3636,White,1200
8,5,knight,7676,White,1400
8,5,knight,7937,White,1600
8,5,knight,4444,White,1800
8,5,knight,1475,White,2000
8,5,knight,303,White,2200
8,5,knight,28,White,2400
8,5,knight,2,White,2600
8,5,pawn,29,White,800
8,5,pawn,450,White,1000
8,5,pawn,2268,White,1200
8,5,pawn,5168,White,1400
8,5,pawn,5672,White,1600
8,5,pawn,3238,White,1800
8,5,pawn,1169,White,2000
8,5,pawn,240,White,2200
8,5,pawn,20,White,2400
8,5,pawn,1,White,2600
8,5,queen,154,Black,800
8,5,queen,2366,Black,1000
8,5,queen,13401,Black,1200
8,5,queen,33774,Black,1400
8,5,queen,40673,Black,1600
8,5,queen,22006,Black,1800
8,5,queen,6938,Black,2000
8,5,queen,1491,Black,2200
8,5,queen,115,Black,2400
8,5,queen,12,Black,2600
8,5,queen,121,White,800
8,5,queen,2108,White,1000
8,5,queen,10004,White,1200
8,5,queen,21081,White,1400
8,5,queen,21289,White,1600
8,5,queen,10926,White,1800
8,5,queen,3344,White,2000
8,5,queen,763,White,2200
8,5,queen,66,White,2400
8,5,queen,4,White,2600
8,5,rook,884,Black,800
8,5,rook,19528,Black,1000
8,5,rook,119640,Black,1200
8,5,rook,286150,Black,1400
8,5,rook,311404,Black,1600
8,5,rook,169470,Black,1800
8,5,rook,54207,Black,2000
8,5,rook,12045,Black,2200
8,5,rook,1099,Black,2400
8,5,rook,87,Black,2600
8,5,rook,149,White,800
8,5,rook,3620,White,1000
8,5,rook,22306,White,1200
8,5,rook,49477,White,1400
8,5,rook,51191,White,1600
8,5,rook,27121,White,1800
8,5,rook,8498,White,2000
8,5,rook,1770,White,2200
8,5,rook,161,White,2400
8,5,rook,14,White,2600
8,6,bishop,86,Black,800
8,6,bishop,1587,Black,1000
8,6,bishop,9253,Black,1200
8,6,bishop,26029,Black,1400
8,6,bishop,35076,Black,1600
8,6,bishop,24047,Black,1800
8,6,bishop,9213,Black,2000
8,6,bishop,2415,Black,2200
8,6,bishop,224,Black,2400
8,6,bishop,16,Black,2600
8,6,bishop,74,White,800
8,6,bishop,1326,White,1000
8,6,bishop,6885,White,1200
8,6,bishop,15582,White,1400
8,6,bishop,16215,White,1600
8,6,bishop,8937,White,1800
8,6,bishop,2806,White,2000
8,6,bishop,548,White,2200
8,6,bishop,46,White,2400
8,6,bishop,7,White,2600
8,6,king,504,Black,800
8,6,king,8740,Black,1000
8,6,king,47373,Black,1200
8,6,king,109838,Black,1400
8,6,king,118435,Black,1600
8,6,king,66414,Black,1800
8,6,king,21465,Black,2000
8,6,king,4609,Black,2200
8,6,king,457,Black,2400
8,6,king,38,Black,2600
8,6,king,12,White,800
8,6,king,254,White,1000
8,6,king,1209,White,1200
8,6,king,2786,White,1400
8,6,king,3093,White,1600
8,6,king,1779,White,1800
8,6,king,705,White,2000
8,6,king,164,White,2200
8,6,king,9,White,2400
8,6,king,3,White,2600
8,6,knight,37,Black,800
8,6,knight,605,Black,1000
8,6,knight,4621,Black,1200
8,6,knight,14962,Black,1400
