fromsquarerank,fromsquarefile,piece,COUNT(*),turn,avgrating
0,5,rook,512,Black,2200
0,5,rook,40,Black,2400
0,5,rook,4,Black,2600
0,5,rook,1071,White,800
0,5,rook,25879,White,1000
0,5,rook,171903,White,1200
0,5,rook,446381,White,1400
0,5,rook,498938,White,1600
0,5,rook,264989,White,1800
0,5,rook,82070,White,2000
0,5,rook,17555,White,2200
0,5,rook,1442,White,2400
0,5,rook,132,White,2600
0,6,bishop,14,Black,800
0,6,bishop,161,Black,1000
0,6,bishop,816,Black,1200
0,6,bishop,1785,Black,1400
0,6,bishop,1974,Black,1600
0,6,bishop,1312,Black,1800
0,6,bishop,409,Black,2000
0,6,bishop,90,Black,2200
0,6,bishop,3,Black,2400
0,6,bishop,4,White,800
0,6,bishop,66,White,1000
0,6,bishop,470,White,1200
0,6,bishop,1611,White,1400
0,6,bishop,2590,White,1600
0,6,bishop,1835,White,1800
0,6,bishop,613,White,2000
0,6,bishop,125,White,2200
0,6,bishop,24,White,2400
0,6,bishop,1,White,2600
0,6,king,11,Black,800
0,6,king,177,Black,1000
0,6,king,1017,Black,1200
0,6,king,2348,Black,1400
0,6,king,2470,Black,1600
0,6,king,1330,Black,1800
0,6,king,503,Black,2000
0,6,king,135,Black,2200
0,6,king,12,Black,2400
0,6,king,738,White,800
0,6,king,16813,White,1000
0,6,king,119163,White,1200
0,6,king,328840,White,1400
0,6,king,386829,White,1600
0,6,king,211235,White,1800
0,6,king,67290,White,2000
0,6,king,14387,White,2200
0,6,king,1209,White,2400
0,6,king,127,White,2600
0,6,knight,6,Black,800
0,6,knight,93,Black,1000
0,6,knight,458,Black,1200
0,6,knight,911,Black,1400
0,6,knight,911,Black,1600
0,6,knight,472,Black,1800
0,6,knight,103,Black,2000
0,6,knight,34,Black,2200
0,6,knight,2899,White,800
0,6,knight,58583,White,1000
0,6,knight,312877,White,1200
0,6,knight,698172,White,1400
0,6,knight,693663,White,1600
0,6,knight,349991,White,1800
0,6,knight,105173,White,2000
0,6,knight,22148,White,2200
0,6,knight,1817,White,2400
0,6,knight,154,White,2600
0,6,queen,85,Black,800
0,6,queen,1298,Black,1000
0,6,queen,5269,Black,1200
0,6,queen,9751,Black,1400
0,6,queen,9351,Black,1600
0,6,queen,4964,Black,1800
0,6,queen,1632,Black,2000
0,6,queen,364,Black,2200
0,6,queen,24,Black,2400
0,6,queen,20,White,800
0,6,queen,274,White,1000
