fromsquarerank,fromsquarefile,piece,COUNT(*),turn
6,3,king,296961,Black
6,3,king,22603,White
6,3,knight,779658,Black
6,3,knight,44722,White
6,3,pawn,508751,Black
6,3,pawn,20847,White
6,3,queen,350159,Black
6,3,queen,61724,White
6,3,rook,128596,Black
6,3,rook,139701,White
6,4,bishop,669207,Black
6,4,bishop,33202,White
6,4,king,376641,Black
6,4,king,22963,White
6,4,knight,448777,Black
6,4,knight,50132,White
6,4,pawn,520656,Black
6,4,pawn,19130,White
6,4,queen,442969,Black
6,4,queen,59783,White
6,4,rook,121149,Black
6,4,rook,121535,White
6,5,bishop,37291,Black
6,5,bishop,43669,White
6,5,king,431000,Black
6,5,king,24420,White
6,5,knight,38012,Black
6,5,knight,69240,White
6,5,pawn,1078430,Black
6,5,pawn,18037,White
6,5,queen,85742,Black
6,5,queen,84253,White
6,5,rook,118910,Black
6,5,rook,102746,White
6,6,bishop,385752,Black
6,6,bishop,31680,White
6,6,king,420551,Black
6,6,king,24914,White
6,6,knight,22444,Black
6,6,knight,18462,White
6,6,pawn,949617,Black
6,6,pawn,20458,White
6,6,queen,48935,Black
6,6,queen,58211,White
6,6,rook,50291,Black
6,6,rook,80298,White
6,7,bishop,18253,Black
6,7,bishop,27885,White
6,7,king,215349,Black
6,7,king,15336,White
6,7,knight,46789,Black
6,7,knight,15083,White
6,7,pawn,1088515,Black
6,7,pawn,25324,White
6,7,queen,15421,Black
6,7,queen,59106,White
6,7,rook,35104,Black
6,7,rook,83805,White
7,0,bishop,15285,Black
7,0,bishop,16113,White
7,0,king,22469,Black
7,0,king,4838,White
7,0,knight,3584,Black
7,0,knight,13835,White
7,0,queen,28802,Black
7,0,queen,68627,White
7,0,rook,1516033,Black
7,0,rook,64311,White
7,1,bishop,15552,Black
7,1,bishop,9429,White
7,1,king,106014,Black
7,1,king,8969,White
7,1,knight,1220478,Black
7,1,knight,4964,White
7,1,queen,45694,Black
7,1,queen,44287,White
7,1,rook,340363,Black
7,1,rook,52437,White
7,2,bishop,1628688,Black
