tosquarerank,tosquarefile,piece,COUNT(*),turn,Skill
1,5,pawn,10684,Black,Good
1,5,queen,22731,Black,Bad
1,5,queen,23923,Black,Good
1,5,queen,12971,White,Bad
1,5,queen,37150,White,Good
1,5,rook,21771,Black,Bad
1,5,rook,35401,Black,Good
1,5,rook,23137,White,Bad
1,5,rook,48146,White,Good
1,6,bishop,11663,Black,Bad
1,6,bishop,21894,Black,Good
1,6,bishop,44045,White,Bad
1,6,bishop,123391,White,Good
1,6,king,3937,Black,Bad
1,6,king,6793,Black,Good
1,6,king,62450,White,Bad
1,6,king,132713,White,Good
1,6,knight,5321,Black,Bad
1,6,knight,6469,Black,Good
1,6,knight,2919,White,Bad
1,6,knight,7154,White,Good
1,6,pawn,6263,Black,Bad
1,6,pawn,10885,Black,Good
1,6,queen,22627,Black,Bad
1,6,queen,17281,Black,Good
1,6,queen,8134,White,Bad
1,6,queen,17969,White,Good
1,6,rook,17279,Black,Bad
1,6,rook,27824,Black,Good
1,6,rook,9767,White,Bad
1,6,rook,18384,White,Good
1,7,bishop,6314,Black,Bad
1,7,bishop,8099,Black,Good
1,7,bishop,3177,White,Bad
1,7,bishop,8492,White,Good
1,7,king,2574,Black,Bad
1,7,king,4173,Black,Good
1,7,king,38480,White,Bad
1,7,king,87370,White,Good
1,7,knight,4445,Black,Bad
1,7,knight,3542,Black,Good
1,7,knight,7636,White,Bad
1,7,knight,15985,White,Good
1,7,pawn,7041,Black,Bad
1,7,pawn,10568,Black,Good
1,7,queen,15770,Black,Bad
1,7,queen,13680,Black,Good
1,7,queen,2911,White,Bad
1,7,queen,6037,White,Good
1,7,rook,16339,Black,Bad
1,7,rook,23721,Black,Good
1,7,rook,7618,White,Bad
1,7,rook,11254,White,Good
2,0,bishop,12351,Black,Bad
2,0,bishop,14107,Black,Good
2,0,bishop,19838,White,Bad
2,0,bishop,25846,White,Good
2,0,king,4816,Black,Bad
2,0,king,6831,Black,Good
2,0,king,7837,White,Bad
2,0,king,9111,White,Good
2,0,knight,3858,Black,Bad
2,0,knight,5506,Black,Good
2,0,knight,26749,White,Bad
2,0,knight,20430,White,Good
2,0,pawn,16408,Black,Bad
2,0,pawn,29316,Black,Good
2,0,pawn,108669,White,Bad
2,0,pawn,147687,White,Good
2,0,queen,12577,Black,Bad
2,0,queen,15400,Black,Good
2,0,queen,7201,White,Bad
2,0,queen,10630,White,Good
2,0,rook,16260,Black,Bad
2,0,rook,28348,Black,Good
2,0,rook,9579,White,Bad
2,0,rook,14743,White,Good
